Portfolio Holdings and weightings as of 8:00 AM ET 05/14/2021,,,,
Symbol,Company Name,Weight,Identifier,Shares Held
GPN,Global Payments Inc,0.17%,2958066,
HUM,Humana Inc,0.16%,1291067,
AON,Aon Plc Class A,0.16%,2264192,
ETN,EATON CORP,0.16%,3988806,
EW,EDWARDS LIFE,0.16%,6257595,
ADI,Analog Devices Inc.,0.16%,3696117,
ILMN,ILLUMINA INC,0.16%,1461778,
EMR,EMERSON ELECTR,0.16%,6011918,
VRTX,Vertex Pharmaceuticals Inc,0.16%,2604604,
WM,Waste Management Inc,0.16%,3900630,
NXPI,NXP Semiconductor NV,0.16%,2775464,
HCA,Hca Healthcare Inc,0.16%,2656122,
REGN,Regeneron Pharmaceuticals Inc,0.15%,1054858,
ECL,Ecolab Inc,0.15%,2491824,
MCO,Moodys Corp,0.15%,1612120,
DOW,Dow Inc,0.15%,7465018,
DG,Dollar General Corp,0.14%,2454811,
MET,MetLife Inc,0.14%,7532066,
F,F MOTOR,0.14%,39154564,
EOG,EOG RESOURCES,0.13%,5847193,
KLAC,KLA Corporation,0.13%,1543602,
JCI,JOHNSON CONTROLS,0.13%,7216610,
DD,Dupont De Nemours Inc,0.13%,5394220,
ROP,Roper Industries Inc,0.13%,1051406,
IDXX,IDEXX Laboratories Inc,0.13%,856015,
KMB,Kimberly-Clark Corporation,0.13%,3386610,
SLB,Schlumberger Ltd.,0.13%,14007631,
ROST,Ross Stores Inc,0.13%,3567216,
IQV,IQVIA HOLDINGS,0.13%,1916409,
EXC,EXELON CORP,0.13%,9782630,
LHX,L3harris Technologies,0.13%,2059636,
TEL,TE Connectivity Ltd,0.13%,3315189,
AIG,American International Group Inc.,0.13%,8664634,
GD,GENERAL DYNAMI,0.13%,2323392,
BIIB,BIOGEN INC,0.12%,1526223,
TROW,T Rowe Price Group Inc,0.12%,2281355,
AEP,American Electric Power Company Inc.,0.12%,4975690,
TT,Trane Technologies PLC,0.12%,2389010,
PRU,PRUDENTIAL FIN,0.12%,3977592,
TWTR,Twitter Inc,0.12%,7996872,
DLR,DIGITAL REALTY,0.12%,2813892,
PSA,Public Storage,0.12%,1522442,
PPG,PPG IND,0.12%,2374143,
BAX,BAXTER INTERNATIONAL INC,0.12%,5060854,
SYY,Sysco Corp,0.12%,5114087,
CNC,Centene Corp,0.12%,5827253,
ALGN,ALIGN TECHNOLOGY INC,0.12%,721594,
SRE,Sempra Energy,0.12%,3031808,
ALL,Allstate Corp,0.12%,3034662,
BK,BANK NY MELLON,0.12%,8083509,
SPG,Simon Property Group Inc,0.12%,3291435,
EA,ELECTRONIC ART,0.11%,2881904,
HPQ,Hp Inc,0.11%,12549635,
A,Agilent Technologies Inc,0.11%,3052997,
TRV,THE TRAVELERS,0.11%,2527192,
MCHP,MICROCHIP TECH,0.11%,2697959,
STZ,Constellation Brands Inc. Class A,0.11%,1703626,
APH,Amphenol Corporation Class A,0.11%,6003427,
PH,Parker Hannifin Corp,0.11%,1293313,
WBA,Walgreens Boots Alliance Inc,0.11%,7185499,
MPC,Marathon Petroleum Corp,0.11%,6525408,
EBAY,EBAY INC,0.11%,6476914,
ALXN,Alexion Pharmaceuticals,0.11%,2202595,
CMI,Cummins Inc.,0.11%,1482974,
GIS,GENERAL MILLS,0.11%,6126137,
INFO,IHS Markit Ltd,0.11%,3735291,
ORLY,OReilly Automotive Inc,0.11%,703472,
CTSH,Cognizant Technology Solutions Corporation Class A,0.11%,5316462,
PSX,Phillips 66,0.11%,4376483,
XEL,Xcel Energy Inc,0.11%,5296697,
ADM,Archer-Daniels-Midland Company,0.11%,5595109,
MAR,Marriott International Inc,0.11%,2665537,
APTV,Aptiv PLC,0.11%,2705482,
MSCI,MSCI Inc,0.11%,827253,
CMG,Chipotle Mexican Grill Inc,0.11%,281693,
SNPS,SYNOPSYS INC,0.10%,1526600,
KMI,Kinder Morgan Inc Class P,0.10%,19506780,
AFL,Aflac Inc,0.10%,6416195,
LUV,Southwest Airlines Co,0.10%,5918594,
YUM,Yum! Brands Inc,0.10%,3006277,
CARR,CARREFOUR,0.10%,8187109,
IFF,International Flavors & Fragrances Inc,0.10%,2492145,
DFS,DISCOVER FINAN,0.10%,3073123,
ZBH,Zimmer Biomet Holdings Inc,0.10%,2082674,
CDNS,CADENCE DESIGN SYS INC COMMON STOCK USD.01,0.10%,2795198,
WLTW,Willis Towers Watson plc,0.10%,1292134,
MSI,MOTOROLA SOL,0.10%,1693672,
SWK,Stanley Black & Decker Inc,0.10%,1611642,
MNST,Monster Beverage Corp,0.10%,3704405,
HLT,Hilton Worldwide Holding,0.10%,2781578,
CTVA,Corteva Inc,0.10%,7455057,
GLW,Corning Inc,0.10%,7696559,
AZO,AutoZone Inc.,0.09%,222249,
FRC,FIRST REP BANK,0.09%,1752994,
TDG,TransDigm Group Inc,0.09%,547984,
DXCM,DEXCOM,0.09%,963500,
PAYX,Paychex Inc,0.09%,3215781,
PCAR,PACCAR Inc,0.09%,3476112,
MCK,McKesson Corp,0.09%,1592957,
WMB,Williams Companies Inc,0.09%,12161514,
OTIS,Otis Worldwide Corp,0.09%,4084343,
VLO,VALERO ENERGY,0.09%,4093688,
SBAC,SBA Communications Corp,0.09%,1095412,
PEG,PUBL SVC ENTER,0.09%,5060825,
PXD,Pioneer Natural Resources Co,0.09%,2038266,
WELL,Welltower Inc,0.09%,4181867,
AME,AMETEK Inc.,0.09%,2310024,
NUE,NUCOR,0.09%,2986021,
DHI,D.R. HORTON IN,0.09%,3316089,
CTAS,Cintas Corp,0.09%,883914,
ROK,ROCKWELL AUTOM,0.09%,1163850,
WEC,WEC ENERGY GRO,0.09%,3160379,
FAST,FASTENAL,0.09%,5754593,
XLNX,Xilinx Inc,0.09%,2462358,
FITB,FIFTH THIRD BANC,0.09%,7124906,
STT,State Street Corp,0.08%,3524700,
AMP,Ameriprise Financial Inc.,0.08%,1169731,
DAL,DELTA AIR LIN,0.08%,6394201,
MTD,Mettler-Toledo International Inc,0.08%,234463,
SIVB,SIVB,0.08%,520073,
ES,Eversource Energy,0.08%,3436668,
CBRE,CBRE Group Inc,0.08%,3362803,
EFX,Enerflex Ltd.,0.08%,1220257,
LYB,LYONDELLBASEL,0.08%,2577941,
KHC,Kraft Heinz Company,0.08%,6495706,
ANSS,ANSYS Inc.,0.08%,866033,
RMD,ResMed Inc,0.08%,1457513,
VRSK,Verisk Analytics Inc,0.08%,1631051,
BLL,Ball Corp,0.08%,3285624,
FTNT,Fortinet  Inc.,0.08%,1356650,
AJG,Arthur J. Gallagher & Co.,0.08%,1936852,
WY,WEYERHAEUSER C,0.08%,7492235,
KR,Kroger Co.,0.08%,7628249,
AWK,American Water Works Company Inc.,0.08%,1817855,
AVB,AvalonBay Communities Inc.,0.08%,1398023,
SWKS,Skyworks Solutions Inc,0.08%,1652174,
VFC,VF Corp,0.08%,3217400,
DTE,DTE ENERGY,0.08%,1941531,
KSU,Kansas City Southern,0.08%,910412,
ED,Consolidated Edison Inc.,0.08%,3431169,
BBY,BEST BUY CO INC,0.08%,2308960,
LH,Laboratory Corp Of Amer,0.07%,978012,
LEN,Lennar Corp,0.07%,2750594,
ZBRA,ZEBRA TECH,0.07%,535784,
KEYS,Keysight Technologies Inc,0.07%,1864360,
DLTR,DOLLAR TREE IN,0.07%,2356577,
ODFL,Old Dominion Freight Line Inc,0.07%,960830,
MXIM,MAXIM INTEGRATED PRODUCTS,0.07%,2685550,
HSY,Hershey Co,0.07%,1468416,
EQR,EQ RESIDENT,0.07%,3435077,
CPRT,Copart Inc.,0.07%,2083693,
SYF,SYNCHRONY FIN,0.07%,5441621,
IP,International Pa,0.07%,3938664,
O,Realty Income Corp,0.07%,3741106,
VMC,Vulcan Materials Co,0.07%,1328014,
NTRS,NORTHERN TRUST,0.07%,2087087,
WST,WEST PHARMACEUTICAL SERVICES COMMON STOCK USD.25,0.07%,742352,
CERN,Cerner Corp,0.07%,3068950,
CDW,CDW Corp,0.07%,1412625,
HIG,Hartford Financial Services Group Inc,0.07%,3582175,
OKE,ONEOK Inc,0.07%,4458425,
TSN,Tyson Foods Inc,0.07%,2953064,
FTV,Fortive Corp,0.07%,3387302,
VIAC,ViacomCBS Inc,0.07%,5885080,
URI,United Rentals Inc,0.07%,723549,
EXPE,EXPEDI GROUP I,0.07%,1370355,
RSG,Republic Services Inc,0.07%,2108725,
CLX,Clorox Co,0.07%,1260329,
FLT,FLEETCOR TECHNOL,0.07%,835760,
MLM,Martin Marietta Materials Inc,0.07%,623957,
HES,Hess Corp,0.06%,2737450,
PPL,Pakistan Petroleum Ltd.,0.06%,7705060,
MKC,MCCORMICK & CO,0.06%,2494528,
KEY,KeyCorp,0.06%,9707003,
CCL,Carnival Corp,0.06%,7993875,
ARE,ALEXANDRIA RE,0.06%,1273652,
EIX,Edison International,0.06%,3800221,
WDC,WESTERN DGTL C,0.06%,3065266,
RF,Regions Financial Corp,0.06%,9625484,
VRSN,VeriSign Inc,0.06%,997053,
CHD,Church & Dwight Co Inc,0.06%,2455367,
DOV,Dover Corp,0.06%,1439197,
ETR,Entergy Corp,0.06%,2008709,
OXY,OCCIDENTAL PET,0.06%,8400455,
TSCO,Tractor Supply Co,0.06%,1165405,
AEE,Ameren Corporation,0.06%,2494019,
HPE,Hewlett Packard Ent,0.06%,12987099,
MTB,M&T Bank Corp,0.06%,1288432,
CFG,Citizens Financial Group Inc,0.06%,4259393,
TTWO,Take-Two Interactive Software Inc,0.06%,1153965,
GRMN,Garmin Ltd,0.06%,1497133,
ETSY,Etsy Inc,0.06%,1248170,
XYL,Xylem Inc.,0.06%,1807081,
TER,Teradyne Inc,0.06%,1669816,
FE,FIRSTENERGY,0.06%,5442558,
VTR,Ventas Inc,0.06%,3754091,
EXPD,EXPEDITORS,0.06%,1696894,
IT,GARTNER INC,0.06%,889010,
CZR,Caesars Entertainment Corp,0.06%,2086644,
GWW,W W Grainger Inc,0.06%,440647,
HAL,Halliburton Co,0.06%,8906383,
STX,Seagate Technology PLC,0.06%,2012407,
QRVO,Qorvo Inc,0.06%,1134731,
WAT,Waters Corp,0.05%,622776,
GNRC,Generac Holdings Inc,0.05%,629836,
EXR,EXTRA SPACE ST,0.05%,1303757,
KMX,Carmax Inc,0.05%,1628434,
COO,Cooper Companies Inc.,0.05%,492454,
CE,Canada Energy Partners Inc,0.05%,1143912,
TRMB,Trimble Inc,0.05%,2514056,
AMCR,Amcor PLC,0.05%,15650152,
GPC,GENUINE PARTS,0.05%,1446810,
VTRS,Viatris Inc,0.05%,12094448,
TDY,Teledyne Technologies Inc,0.05%,465350,
NDAQ,NASDAQ INC,0.05%,1155428,
ESS,ESSEX PROP TR,0.05%,651293,
BR,BROADRIDGE FINANCIAL SOLUTIO,0.05%,1160248,
LVS,Las Vegas Sands Corp,0.05%,3290964,
AKAM,Akamai Technologies,0.05%,1635180,
BKR,Baker Hughes a GE Co. Class A,0.05%,7303763,
RCL,Royal Caribbean Cruises Ltd,0.05%,2193432,
CAG,Conagra Brands Inc.,0.05%,4895571,
ALB,ALBEMARLE CORP,0.05%,1168456,
TFX,Teleflex Inc,0.05%,468007,
DRI,DARDEN REST,0.05%,1305739,
CMS,CMS Energy Corporation,0.05%,2889491,
ULTA,Ulta Beauty Inc,0.05%,564512,
CINF,Cincinnati Financial Corp,0.05%,1502176,
AVY,Avery Dennison Corporation,0.05%,831775,
PEAK,HCP Inc,0.05%,5397264,
MAA,Mid-America Apartment Communities Inc,0.05%,1146163,
IR,INGER RAND,0.05%,3734279,
UAL,United Continental Holdings Inc,0.05%,3191063,
J,Jacobs Engineering Group Inc,0.05%,1302908,
ANET,Arista Networks Inc.,0.05%,549224,
OMC,OMNICOM GP INC,0.05%,2154638,
ABC,AmerisourceBergen Corporation,0.05%,1476707,
DGX,QUEST DIAG,0.05%,1337059,
NTAP,net SE,0.05%,2230303,
POOL,Pool Corp,0.05%,402984,
EMN,EASTMAN CHEM,0.05%,1361016,
DRE,DUKE REALTY,0.05%,3743869,
MKTX,MarketAxess Holdings Inc,0.05%,380784,
K,Kellogg Company,0.05%,2550152,
DPZ,Dominos Pizza Inc,0.05%,388728,
AES,Aes Corp,0.05%,6692326,
CTLT,Catalent Inc,0.05%,1659846,
PFG,Pioneer Foods Group Ltd.,0.05%,2540283,
ENPH,ENPHASE ENERGY INC,0.05%,1264999,
IEX,IDEX Corp,0.05%,760047,
CAH,Cardinal Health Inc,0.05%,2942367,
NVR,NVR Inc,0.05%,34680,
RJF,Raymond James Financial Inc,0.05%,1229755,
STE,STERIS Corp,0.05%,855262,
HOLX,Hologic Inc,0.05%,2581040,
MGM,MGM RESORTS IN,0.05%,4115180,
TYL,Tyler Technologies Inc,0.05%,406608,
PKI,PerkinElmer Inc,0.05%,1122751,
HBAN,Huntington Bancshares,0.05%,10192526,
CRL,Charles River Laboratories International Inc,0.05%,498827,
MAS,Masco Corp,0.05%,2576519,
LB,L Brands Inc,0.05%,2341347,
PAYC,Paycom Software Inc,0.05%,491721,
BXP,Boston Properties Inc,0.04%,1420684,
WRK,Westrock Co,0.04%,2639603,
NLOK,NortonLifeLock Inc,0.04%,5830509,
INCY,INCYTE CORP,0.04%,1871811,
TXT,Textron Inc,0.04%,2273821,
FMC,Fmc Corp,0.04%,1296072,
WHR,Whirlpool Corp,0.04%,628769,
DVN,DEVON ENERG,0.04%,5933346,
XRAY,DENTSPLY International Inc,0.04%,2194401,
PHM,PulteGroup Inc,0.04%,2664736,
SJM,J.M. Smucker Company,0.04%,1098690,
LNT,ALLIANT ENERGY,0.04%,2503689,
JBHT,J B Hunt Transport Services Inc,0.04%,836713,
PKG,Packaging Corp of America,0.04%,950104,
FBHS,FORTUNE BRANDS,0.04%,1389222,
BF.B,BROWN FORMAN CORP CL B,0.04%,1830267,
EVRG,EVERGY INC,0.04%,2273762,
LUMN,Lumen Technologies Inc.,0.04%,9890792,
CTXS,Citrix Systems Inc,0.04%,1232162,
AAL,American Airlines Group Inc.,0.04%,6159194,
FANG,DIAMOND BAK EN,0.04%,1811662,
LKQ,LKQ Corp,0.04%,2795975,
WAB,Wabtec Corp/DE,0.04%,1779246,
LDOS,Leidos Holdings Inc,0.04%,1336651,
UDR,UDR Inc,0.04%,2971065,
MPWR,Monolithic Power Systems Inc,0.04%,425325,
SNA,SNAP-ON INC,0.04%,543016,
CNP,CenterPoint Energy Inc,0.04%,5497041,
PTC,PTC Inc,0.04%,1053022,
WYNN,WYNN RESORTS,0.04%,1054106,
L,Loblaw Companies Ltd,0.04%,2273507,
HWM,Howmet Aerospace Inc,0.04%,3910053,
CHRW,C.H. Robinson Worldwide Inc,0.04%,1340667,
HRL,Hormel Foods Corp,0.04%,2814283,
AAP,ADV AUTO PARTS,0.04%,656165,
IPG,INTERPBLIC GRP,0.04%,3913691,
BIO,Bio Rad Laboratories Inc,0.04%,215696,
PWR,Quanta Services Inc,0.04%,1386437,
LNC,Lincoln National Corp,0.04%,1807995,
LYV,Live Nation Ent Inc,0.04%,1437644,
ALLE,Allegion PLC,0.04%,909171,
FOXA,Fox Corp,0.04%,3349896,
ABMD,ABIOMED Inc,0.04%,453073,
TPR,TAPESTRY INC O,0.04%,2783515,
ATO,Atmos Energy Corporation,0.04%,1261425,
MHK,Mohawk Industries Inc,0.04%,590963,
UHS,Universal Health Services Inc,0.04%,779682,
MOS,Mosaic Co,0.03%,3456458,
IRM,IRON MOUNTAIN,0.03%,2889210,
HST,Host Hotels & Resorts,0.03%,7067318,
HAS,Hasbro Inc,0.03%,1279783,
CBOE,Cboe Global Markets Inc,0.03%,1074225,
BWA,BorgWarner Inc,0.03%,2394034,
JKHY,Jack Henry & Associates Inc,0.03%,762190,
PENN,Penn National Gaming Inc,0.03%,1490349,
CF,CF INDUSTRIES,0.03%,2143817,
LW,Lamb Weston Holdings,0.03%,1466385,
HSIC,Henry Schein Inc,0.03%,1427318,
FFIV,F5 NETWORKS,0.03%,617723,
PNR,Pentair Ltd,0.03%,1663765,
WRB,W. R. Berkley Corp,0.03%,1403987,
RE,EVEREST RE GP,0.03%,400402,
CMA,Comerica Incorporated,0.03%,1394060,
DISH,DISH NETWORK A,0.03%,2478496,
NWL,Newell Brands Inc,0.03%,3785869,
NCLH,Norwegian Cruise Line,0.03%,3639112,
TAP,MOLSN COORS BR,0.03%,1885659,
WU,WESTERN UNION,0.03%,4117149,
NWSA,News Corp,0.03%,3918559,
IVZ,Invesco Ltd,0.03%,3771349,
GL,Globe Life Inc,0.03%,951978,
RHI,Robert Half International Inc,0.03%,1133377,
REG,Regency Centers Corp,0.03%,1582031,
CPB,Campbell Soup Co,0.03%,2033261,
NLSN,NIELSEN HOLDIN,0.03%,3584171,
NI,NiSource Inc,0.03%,3868664,
PNW,PINNACL WEST C,0.03%,1129119,
ZION,ZIONS BANCORP,0.03%,1644773,
DXC,DXC TECHNLGY C,0.03%,2550334,
AOS,A O SMITH,0.03%,1356556,
MRO,MARATHON OIL,0.03%,7909525,
